InstanceID,h,opt
24,18.0,51.0,
24,19.0,59.0,
24,20.0,58.0,
24,21.0,127.0,
24,22.0,60.0,
24,23.0,128.0,
24,24.0,-1.0,
24,25.0,165.0,
24,26.0,136.0,
24,27.0,135.0,
24,28.0,-1.0,
24,29.0,134.0,
24,30.0,-1.0,
24,31.0,123.0,
24,32.0,-1.0,
24,33.0,-1.0,
24,34.0,141.0,
24,35.0,141.0,
24,36.0,104.0,
24,37.0,117.0,
24,38.0,-1.0,
24,39.0,-1.0,
24,40.0,-1.0,
24,41.0,147.0,
24,42.0,-1.0,
24,43.0,-1.0,
24,44.0,-1.0,
24,45.0,-1.0,
24,46.0,-1.0,
24,47.0,-1.0,
24,48.0,-1.0,
24,49.0,158.0,
24,50.0,164.0,
24,51.0,-1.0,
24,52.0,160.0,
24,53.0,161.0,
24,54.0,194.0,
24,55.0,200.0,
24,56.0,202.0,
24,57.0,-1.0,
24,58.0,-1.0,
24,59.0,172.0,
24,60.0,-1.0,
24,61.0,-1.0,
24,62.0,-1.0,
24,63.0,-1.0,
24,64.0,-1.0,
24,65.0,-1.0,
24,66.0,-1.0,
24,67.0,-1.0,
24,68.0,-1.0,
24,69.0,-1.0,
24,70.0,-1.0,
24,71.0,-1.0,
24,75.0,-1.0,
24,76.0,-1.0,
25,2.0,2.0,
25,3.0,6.0,
25,5.0,7.0,
25,6.0,7.0,
25,7.0,14.0,
25,8.0,10.0,
25,9.0,15.0,
25,10.0,16.0,
25,11.0,19.0,
25,12.0,19.0,
25,13.0,21.0,
25,14.0,21.0,
25,15.0,22.0,
25,16.0,23.0,
25,17.0,23.0,
25,18.0,25.0,
25,19.0,27.0,
25,20.0,28.0,
25,21.0,34.0,
25,23.0,35.0,
25,24.0,36.0,
25,31.0,45.0,
25,33.0,46.0,
25,34.0,47.0,
25,35.0,48.0,
25,39.0,62.0,
25,41.0,64.0,
25,42.0,65.0,
26,2.0,2.0,
26,3.0,5.0,
26,5.0,6.0,
26,6.0,7.0,
26,8.0,15.0,
26,10.0,16.0,
26,11.0,17.0,
26,12.0,28.0,
26,13.0,20.0,
26,14.0,21.0,
26,15.0,30.0,
26,16.0,31.0,
26,17.0,29.0,
26,18.0,30.0,
26,19.0,29.0,
26,20.0,29.0,
26,21.0,34.0,
26,23.0,35.0,
26,24.0,36.0,
26,25.0,37.0,
26,34.0,52.0,
27,1.0,1.0,
27,2.0,4.0,
27,4.0,5.0,
27,5.0,20.0,
27,7.0,44.0,
27,8.0,17.0,
27,9.0,42.0,
27,10.0,42.0,
27,11.0,65.0,
27,12.0,43.0,
27,13.0,44.0,
27,14.0,46.0,
27,15.0,52.0,
27,16.0,60.0,
27,17.0,53.0,
27,18.0,54.0,
27,19.0,55.0,
27,20.0,84.0,
27,21.0,63.0,
27,22.0,38.0,
27,23.0,31.0,
27,24.0,44.0,
27,25.0,74.0,
27,26.0,44.0,
27,27.0,78.0,
27,28.0,69.0,
27,29.0,70.0,
27,30.0,99.0,
27,31.0,78.0,
27,32.0,79.0,
27,33.0,74.0,
27,34.0,87.0,
27,35.0,88.0,
27,36.0,89.0,
27,37.0,90.0,
27,42.0,94.0,
27,43.0,95.0,
28,1.0,1.0,
28,2.0,4.0,
28,3.0,14.0,
28,4.0,5.0,
28,5.0,25.0,
28,6.0,25.0,
28,7.0,48.0,
28,8.0,25.0,
28,9.0,49.0,
28,10.0,48.0,
28,11.0,43.0,
28,12.0,47.0,
28,13.0,43.0,
28,14.0,44.0,
28,15.0,60.0,
28,16.0,62.0,
28,17.0,63.0,
28,18.0,41.0,
28,19.0,59.0,
28,20.0,40.0,
28,21.0,27.0,
28,22.0,70.0,
28,23.0,66.0,
28,24.0,33.0,
28,25.0,90.0,
28,26.0,59.0,
28,27.0,51.0,
28,28.0,60.0,
28,29.0,61.0,
28,30.0,95.0,
28,31.0,67.0,
28,32.0,53.0,
28,33.0,51.0,
28,34.0,64.0,
28,35.0,89.0,
28,36.0,62.0,
28,37.0,63.0,
28,38.0,61.0,
28,39.0,98.0,
28,40.0,99.0,
28,41.0,100.0,
28,42.0,71.0,
28,43.0,100.0,
28,44.0,86.0,
28,47.0,105.0,
